,created_at,favorite_count,id_str,in_reply_to_user_id_str,is_retweet,retweet_count,source,text
3946,Fri Jan 22 13:39:06 +0000 2016,2204,690529122326413314,,False,771,Twitter for Android,"""@NeilTurner_: @realDonaldTrump https://t.co/uvn95NB6M0 With your help we can #MakeAmericaGreatAgain! #VoteTrump"""
3947,Fri Jan 22 13:36:44 +0000 2016,2464,690528526181601281,,False,675,Twitter for Android,"""@BornToBeGOP: @realDonaldTrump No sleep for the #TrumpTrain!"""
3948,Fri Jan 22 13:36:16 +0000 2016,2975,690528407117889538,,False,908,Twitter for Android,"""@realOllieTaylor:  Isn't it time we had a president? Let goofy Glen keep Canada Cruz who can't win. The American people have Trump!"""
3949,Fri Jan 22 13:34:54 +0000 2016,4231,690528062190944256,,False,1589,Twitter for Android,"Ted Cruz complains about my views on eminent domain, but without it we wouldn't have roads, highways, airports, schools or even pipelines."
3950,Fri Jan 22 05:23:08 +0000 2016,0,690404308010057728,,True,9110,Twitter for iPhone,RT @williebosshog: Make America Great Again! #Trump2016 https://t.co/1h5j4DZDgy
3951,Fri Jan 22 03:57:22 +0000 2016,5425,690382722162913280,,False,2224,Twitter for iPhone,"The late, great, William F. Buckley would be ashamed of what had happened to his prize, the dying National Review!"
3952,Fri Jan 22 03:56:57 +0000 2016,5023,690382619213742082,,False,1805,Twitter for iPhone,"Very few people read the National Review because it only knows how to criticize, but not how to lead."
3953,Fri Jan 22 03:56:44 +0000 2016,6002,690382564494839809,,False,2178,Twitter for iPhone,National Review is a failing publication that has lost it's way. It's circulation is way down w its influence being at an all time low. Sad!
3954,Fri Jan 22 00:57:10 +0000 2016,5577,690337376061788161,,False,2412,Twitter for iPhone,"Thank you, Iowa! #FITN #IACaucus
#MakeAmericaGreatAgain #Trump2016 https://t.co/wVJldvTSag"
3955,Fri Jan 22 00:54:16 +0000 2016,5146,690336644281581568,,False,1568,Twitter for iPhone,"Why does @Greta have a fired Bushy like dummy, John Sununu on- spewing false info? I will beat Hillary by a lot, she wants no part of Trump."
3956,Thu Jan 21 23:30:55 +0000 2016,5742,690315667636023296,,False,2212,Twitter for iPhone,#Trump2016 #MakeAmericaGreatAgain https://t.co/vfUwGIGjN4
3957,Thu Jan 21 23:29:43 +0000 2016,4876,690315366564626433,,False,1756,Twitter for iPhone,"Thank you, New Hampshire!
#Trump2016 https://t.co/TG9oZKly4l"
3958,Thu Jan 21 23:29:04 +0000 2016,4290,690315202261155840,,False,1458,Twitter for iPhone,Thank you! #Trump2016 https://t.co/pcdmyIO1Zt
3959,Thu Jan 21 23:21:42 +0000 2016,5936,690313350278819840,,False,2324,Twitter for iPhone,"Thank you, Iowa! #Trump2016 https://t.co/ryhEheTLqN"
3960,Thu Jan 21 20:40:07 +0000 2016,4341,690272687168458754,,False,1051,Twitter for Android,"Happy birthday to my friend, the great @jacknicklaus - a totally special guy!"
3961,Thu Jan 21 20:36:09 +0000 2016,4505,690271688127213568,,False,1423,Twitter for iPhone,New Day on CNN treats me very badly. @AlisynCamerota is a disaster. Not going to watch anymore.
