datetime,state,country,latitude,longitude
10/1/1973 21:30,tn,us,35.1405556,-85.2327778
10/1/1973 22:45,oh,us,41.2377778,-81.93166670000001
10/1/1974 1:00,tx,us,33.2147222,-97.1327778
10/1/1974 18:00,wv,us,40.4188889,-80.58972220000001
10/1/1974 20:00,mn,us,46.4736111,-93.8986111
10/1/1974 21:00,nj,us,40.7841667,-74.69722220000001
10/1/1975 22:00,az,us,33.0580556,-112.04694440000002
10/1/1976 7:00,oh,us,40.9636111,-81.33138890000001
10/1/1976 19:00,ny,us,43.0986111,-77.4422222
10/1/1976 21:00,fl,us,28.0611111,-82.3025
10/1/1977 19:00,ca,us,33.7091667,-117.95277779999999
10/1/1977 22:00,ca,us,40.5763889,-124.2627778
10/1/1978 0:00,nc,us,35.9983333,-76.9463889
10/1/1978 20:00,la,us,31.0944444,-92.4002778
10/1/1978 23:15,in,us,40.9852778,-86.8794444
10/1/1979 16:00,ca,us,33.7922222,-118.31416670000002
10/1/1979 19:00,md,us,39.2402778,-76.83972220000001
10/1/1979 21:00,ny,us,42.8863889,-78.87861109999999
10/1/1979 21:00,wa,us,47.0380556,-122.89944440000001
10/1/1979 21:00,pa,us,40.4405556,-79.9961111
